Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Buenos Aires - Capital Federal,Argentina,321,,,2020-04-02 02:00:00,140003352
Buenos Aires,Argentina,280,,,2020-04-02 02:00:00,140003351
Santa Fe,Argentina,144,,,2020-04-02 02:00:00,140003371
Cordoba,Argentina,101,,,2020-04-02 02:00:00,140003356
Chaco,Argentina,96,,,2020-04-02 02:00:00,140003354
Tierra del Fuego,Argentina,39,,,2020-04-02 02:00:00,140003373
Mendoza,Argentina,25,,,2020-04-02 02:00:00,140003363
Neuquen,Argentina,24,,,2020-04-02 02:00:00,140003365
Corrientes,Argentina,21,,,2020-04-02 02:00:00,140003357
Santa Cruz,Argentina,19,,,2020-04-02 02:00:00,140003370
Tucuman,Argentina,17,,,2020-04-02 02:00:00,140003374
Entre Rios,Argentina,14,,,2020-04-02 02:00:00,140003358
Rio Negro,Argentina,9,,,2020-04-02 02:00:00,140003366
San Luis,Argentina,7,,,2020-04-02 02:00:00,140003369
Jujuy,Argentina,3,,,2020-04-02 02:00:00,140003360
La Pampa,Argentina,3,,,2020-04-02 02:00:00,140003361
Misiones,Argentina,3,,,2020-04-02 02:00:00,140003364
Salta,Argentina,3,,,2020-04-02 02:00:00,140003367
Santiago del Estero,Argentina,2,,,2020-04-02 02:00:00,140003372
La Rioja,Argentina,1,,,2020-04-02 02:00:00,140003362
San Juan,Argentina,1,,,2020-04-02 02:00:00,140003368
British Columbia,Canada,1066,,,2020-04-02 02:00:00,140002874
Alberta,Canada,754,,,2020-04-02 02:00:00,140002879
Saskatchewan,Canada,193,,,2020-04-02 02:00:00,140002878
Manitoba,Canada,127,,,2020-04-02 02:00:00,140002877
Ontario,Canada,2392,,,2020-04-02 02:00:00,140002875
Quebec,Canada,4611,,,2020-04-02 02:00:00,140002869
Newfoundland,Canada,175,,,2020-04-02 02:00:00,140002930
New Brunswick,Canada,81,,,2020-04-02 02:00:00,140002928
Nova Scotia,Canada,173,,,2020-04-02 02:00:00,140002929
Prince Edward Island,Canada,21,,,2020-04-02 02:00:00,140002931
Northwest Territories,Canada,2,,,2020-04-02 02:00:00,140002881
Nunavut,Canada,0,,,2020-04-02 02:00:00,140003914
Yukon,Canada,5,,,2020-04-02 02:00:00,140002880
Arica y Parinacota,Chile,6,,,2020-04-01 16:00:00,140002799
Tarapaca,Chile,10,,,2020-04-01 16:00:00,140002800
Antofagasta,Chile,39,,,2020-04-01 16:00:00,140003347
Atacama,Chile,3,,,2020-04-01 16:00:00,140003339
Coquimbo,Chile,30,,,2020-04-01 16:00:00,140003341
Valparaiso,Chile,136,,,2020-04-01 16:00:00,140003346
Region Metropolitana,Chile,1521,,,2020-04-01 16:00:00,140003345
Libertador General Bernardo O'Higgins,Chile,26,,,2020-04-01 16:00:00,140003348
Maule,Chile,71,,,2020-04-01 16:00:00,140003344
Ñuble,Chile,259,,,2020-04-01 16:00:00,
Biobío,Chile,240,,,2020-04-01 16:00:00,140003340
Araucania,Chile,343,,,2020-04-01 16:00:00,140003338
Los Rios,Chile,64,,,2020-04-01 16:00:00,140003343
Los Lagos,Chile,181,,,2020-04-01 16:00:00,140003342
Aysén,Chile,3,,,2020-04-01 16:00:00,140003349
Magallanes y de la Antarctica,Chile,99,,,2020-04-01 16:00:00,140003350
Baden-Wurttemberg,Germany,16076,,,2020-04-02 02:00:00,140003865
Bavaria,Germany,18571,,,2020-04-02 02:00:00,140003864
Berlin,Germany,2993,,,2020-04-02 02:00:00,140003662
Brandenburg,Germany,1107,,,2020-04-02 02:00:00,140003858
Bremen,Germany,332,,,2020-04-02 02:00:00,140003869
Hamburg,Germany,2437,,,2020-04-02 02:00:00,140003859
Hesse,Germany,3758,,,2020-04-02 02:00:00,140003866
Mecklenburg-Western Pomerania,Germany,443,,,2020-04-02 02:00:00,140003872
Lower Saxony,Germany,5008,,,2020-04-02 02:00:00,140003870
North Rhine-Westphalia,Germany,17157,,,2020-04-02 02:00:00,140003860
Rhineland-Palatinate,Germany,3331,,,2020-04-02 02:00:00,140003868
Saarland,Germany,1073,,,2020-04-02 02:00:00,140003861
Saxony,Germany,2304,,,2020-04-02 02:00:00,140003863
Saxony-Anhalt,Germany,820,,,2020-04-02 02:00:00,140003862
Schleswig-Holstein,Germany,1299,,,2020-04-02 02:00:00,140003871
Thuringia,Germany,927,,,2020-04-02 02:00:00,140003867
Attica,Greece,784,,,2020-04-01 02:00:00,140000004
Aegean Islands,Greece,9,,,2020-04-01 02:00:00,
Thrace,Greece,24,,,2020-04-01 02:00:00,
Macedonia,Greece,122,,,2020-04-01 02:00:00,
Epirus,Greece,7,,,2020-04-01 02:00:00,140000010
Thessaly,Greece,14,,,2020-04-01 02:00:00,140000001
Peloponnese,Greece,78,,,2020-04-01 02:00:00,140000006
Dodecanese,Greece,2,,,2020-04-01 02:00:00,
Greece Central,Greece,6,,,2020-04-01 02:00:00,140000011
Crete,Greece,12,,,2020-04-01 02:00:00,140000012
Ionian Islands,Greece,7,,,2020-04-01 02:00:00,140000008
Cyclades,Greece,1,,,2020-04-01 02:00:00,
Undefined Location,Greece,349,,,2020-04-01 02:00:00,
Kerala,India,202,,,2020-04-01 02:00:00,140001930
Maharashtra,India,198,,,2020-04-01 02:00:00,140004402
Delhi,India,87,,,2020-04-01 02:00:00,140001944
Karnataka,India,83,,,2020-04-01 02:00:00,140004403
Uttar Pradesh,India,82,,,2020-04-01 02:00:00,140001926
Telangana,India,71,,,2020-04-01 02:00:00,140004405
Gujarat,India,69,,,2020-04-01 02:00:00,140001927
Tamil Nadu,India,67,,,2020-04-01 02:00:00,140001938
Rajasthan,India,59,,,2020-04-01 02:00:00,140001929
Madhya Pradesh,India,47,,,2020-04-01 02:00:00,140001931
Punjab,India,38,,,2020-04-01 02:00:00,140001934
Haryana,India,36,,,2020-04-01 02:00:00,140001933
Andhra Pradesh,India,23,,,2020-04-01 02:00:00,140004401
West Bengal,India,22,,,2020-04-01 02:00:00,140001940
Bihar,India,15,,,2020-04-01 02:00:00,140001937
Andaman and Nicobar Islands,India,9,,,2020-04-01 02:00:00,140001955
Chandigarh,India,8,,,2020-04-01 02:00:00,140001945
Uttarakhand,India,7,,,2020-04-01 02:00:00,140001932
Chhattisgarh,India,7,,,2020-04-01 02:00:00,140004404
Goa,India,5,,,2020-04-01 02:00:00,140001956
Odisha,India,3,,,2020-04-01 02:00:00,140001936
Himachal Pradesh,India,3,,,2020-04-01 02:00:00,140001941
Puducherry,India,1,,,2020-04-01 02:00:00,140001953
Manipur,India,1,,,2020-04-01 02:00:00,140001942
Mizoram,India,1,,,2020-04-01 02:00:00,140001928
Lima Province,Peru,990,,,2020-04-02 02:00:00,140003304
Loreto,Peru,66,,,2020-04-02 02:00:00,140003877
Callao,Peru,37,,,2020-04-02 02:00:00,140003303
Lambayeque,Peru,34,,,2020-04-02 02:00:00,140003322
Piura,Peru,26,,,2020-04-02 02:00:00,140003323
Cusco,Peru,34,,,2020-04-02 02:00:00,140003315
Arequipa,Peru,30,,,2020-04-02 02:00:00,140003316
Junin,Peru,17,,,2020-04-02 02:00:00,140003311
La Libertad,Peru,32,,,2020-04-02 02:00:00,140003321
Tumbes,Peru,13,,,2020-04-02 02:00:00,140003324
Ancash,Peru,15,,,2020-04-02 02:00:00,140003320
Ica,Peru,8,,,2020-04-02 02:00:00,140003319
Huanuco,Peru,6,,,2020-04-02 02:00:00,140003308
San Martin,Peru,6,,,2020-04-02 02:00:00,140003307
Ayacucho,Peru,1,,,2020-04-02 02:00:00,140003313
Cajamarca,Peru,2,,,2020-04-02 02:00:00,140003310
Madre de Dios,Peru,1,,,2020-04-02 02:00:00,140003875
Pasco,Peru,1,,,2020-04-02 02:00:00,140003309
Tacna,Peru,3,,,2020-04-02 02:00:00,140003317
Huancavelica,Peru,1,,,2020-04-02 02:00:00,140003312
Acre,Brazil,43,,,2020-04-02 02:00:00,140003873
Amazonas,Brazil,200,,,2020-04-02 02:00:00,140003874
Amapá,Brazil,11,,,2020-04-02 02:00:00,140002759
Pará,Brazil,40,,,2020-04-02 02:00:00,140002744
Rondônia,Brazil,9,,,2020-04-02 02:00:00,140002757
Roraima,Brazil,22,,,2020-04-02 02:00:00,140002758
Tocantins,Brazil,12,,,2020-04-02 02:00:00,140002748
Alagoas,Brazil,18,,,2020-04-02 02:00:00,140002761
Bahia,Brazil,246,,,2020-04-02 02:00:00,140002746
Ceará,Brazil,444,,,2020-04-02 02:00:00,140002745
Maranhão,Brazil,54,,,2020-04-02 02:00:00,140002749
Paraíba,Brazil,20,,,2020-04-02 02:00:00,140002756
Pernambuco,Brazil,95,,,2020-04-02 02:00:00,140002747
Piauí,Brazil,18,,,2020-04-02 02:00:00,140002751
Rio Grande do Norte,Brazil,92,,,2020-04-02 02:00:00,140002750
Sergipe,Brazil,20,,,2020-04-02 02:00:00,140002760
Espírito Santo,Brazil,96,,,2020-04-02 02:00:00,140002754
Minas Gerais,Brazil,314,,,2020-04-02 02:00:00,140002743
Rio de Janeiro,Brazil,832,,,2020-04-02 02:00:00,140002762
São Paulo,Brazil,2981,,,2020-04-02 02:00:00,140002753
Distrito Federal,Brazil,355,,,2020-04-02 02:00:00,140002763
Goiás,Brazil,71,,,2020-04-02 02:00:00,140002742
Mato Grosso do Sul,Brazil,51,,,2020-04-02 02:00:00,140002755
Mato Grosso,Brazil,27,,,2020-04-02 02:00:00,140002752
Paraná,Brazil,224,,,2020-04-02 02:00:00,140003325
Rio Grande do Sul,Brazil,306,,,2020-04-02 02:00:00,140003327
Santa Catarina,Brazil,235,,,2020-04-02 02:00:00,140003326
Bogota,Colombia,472,,,2020-04-02 02:00:00,140004233
Cundinamarca,Colombia,42,,,2020-04-02 02:00:00,140004214
Antioquia,Colombia,107,,,2020-04-02 02:00:00,140004230
Valle del Cauca,Colombia,148,,,2020-04-02 02:00:00,140004235
Bolivar,Colombia,42,,,2020-04-02 02:00:00,140004226
Atlantico,Colombia,35,,,2020-04-02 02:00:00,140004209
Magdalena,Colombia,12,,,2020-04-02 02:00:00,140004225
Cesar,Colombia,16,,,2020-04-02 02:00:00,140004208
Sucre,Colombia,1,,,2020-04-02 02:00:00,140004227
La Guajira,Colombia,1,,,2020-04-02 02:00:00,140004205
Cordoba,Colombia,2,,,2020-04-02 02:00:00,140004228
Norde de Santander,Colombia,19,,,2020-04-02 02:00:00,140004210
Santander,Colombia,12,,,2020-04-02 02:00:00,140004211
Cauca,Colombia,11,,,2020-04-02 02:00:00,140004236
Caldas,Colombia,15,,,2020-04-02 02:00:00,140004206
Risaralda,Colombia,35,,,2020-04-02 02:00:00,140004232
Quindio,Colombia,23,,,2020-04-02 02:00:00,140004207
Huila,Colombia,30,,,2020-04-02 02:00:00,140004217
Tolima,Colombia,14,,,2020-04-02 02:00:00,140004215
Meta,Colombia,12,,,2020-04-02 02:00:00,140004234
Casanare,Colombia,2,,,2020-04-02 02:00:00,140004213
San Andres y Providencia,Colombia,2,,,2020-04-02 02:00:00,140004229
Narino,Colombia,6,,,2020-04-02 02:00:00,140004237
Boyaca,Colombia,6,,,2020-04-02 02:00:00,140004216
Jammu & Kashmir,India,61,,,2020-04-01 02:00:00,140001935
